book_name,page_number,source_used,decision_reason,text
DSA - 3.pdf,1,vision_latex,vision_latex::markdown_contains_figure_placeholder,"\\documentclass{book}
\\usepackage{graphicx}
\\usepackage{color}

\\begin{document}

\\begin{center}
\\textbf{\\Huge FUNDAMENTALS OF} \\\\
\\textbf{\\Huge DATA STRUCTURES IN C}
\\end{center}

\\begin{center}
\\includegraphics[width=\\textwidth]{_page_0_Picture_1.jpeg}
\\end{center}

\\begin{flushright}
\\textbf{ELLIS HOROWITZ} \\\\
\\textbf{SARTAJ SAHNI} \\\\
\\textbf{SUSAN ANDERSON-FREED}
\\end{flushright}

\\end{document}"
DSA - 3.pdf,2,marker,marker_better_or_equal,## **Fundamentals of Data Structures in C**
DSA - 3.pdf,3,vision_latex,vision_latex::markdown_contains_figure_placeholder,"There is no text or content to process. The provided OCR text is empty, indicating that no meaningful content was extracted from the image. Therefore, no LaTeX representation can be generated."
DSA - 3.pdf,4,vision_latex,vision_latex::markdown_contains_figure_placeholder,"\\documentclass{article}
\\usepackage{graphicx}
\\usepackage{fontspec}

\\setmainfont{Times New Roman}

\\begin{document}

\\begin{center}
\\huge\\textbf{Fundamentals of Data Structures in C}
\\end{center}

\\vspace{1cm}

\\begin{center}
\\Large\\textbf{Ellis Horowitz} \\\\
University of Southern California
\\end{center}

\\vspace{1cm}

\\begin{center}
\\Large\\textbf{Sartaj Sahni} \\\\
University of Florida
\\end{center}

\\vspace{1cm}

\\begin{center}
\\Large\\textbf{Susan Anderson-Freed} \\\\
Illinois Wesleyan University
\\end{center}

\\vspace{2cm}

\\begin{center}
\\includegraphics[width=1.5cm]{_page_0_Picture_7.jpeg}
\\end{center}

\\vspace{0.5cm}

\\begin{center}
\\textbf{COMPUTER SCIENCE PRESS} \\\\
An imprint of W.H. Freeman and Company \\\\
New York
\\end{center}

\\end{document}"
DSA - 3.pdf,5,pypdf,pypdf_scored_higher_than_marker,"Cover Illustration by Richard Elmer
Library of Congress Cataloging-in-Publication Data
Horowitz, Ellis.
Fundamentals of data structures in C ! Ellis Horowitz, Sartaj
Sahni, Susan Anderson-Freed.
p. cm.
Includes bibliographical references and index.
1. C (Computer program language) 2. Data structures (Computer science) 1. Sahni, Sartaj. II. Anderson-Freed, Susan.
III. Title.
CIP
No part of this book may be reproduced by any mechanical, photographic, or electronic process, or in the form of a phonographic recording, nor may it be stored in a retrieval system, transmitted, or otherwise copied for public or private use, without written permission from the publisher.
Printed in the United States of America
Computer Science Press
An imprint of W. H. Freeman and Company
The book publishing arm of Scientific American
41 Madison Avenue, New York, NY 10010
20 Beaumont Street, Oxford 0X1 2NQ, England
RRD 99876543"
DSA - 3.pdf,6,pypdf,pypdf_scored_higher_than_marker,"PREFACE xi
CHAPTER 1 BASIC CONCEPTS
1.1 Overview; System Life Cycle
1.2 Algorithm Specification
1.2.1 Introduction
1.2.2 Recursive Algorithms
1.3 Data Abstraction
1.4 Performance Analysis
1.4.1 Space Complexity
1.4.2 Time Complexity
1.4.3 Asymptotic Notation
1.4.4 Practical Complexities
1.5 Performance Measurement
1.6 References And Selected Readings
CHAPTER 2 ARRAYS AND STRUCTURES
2.1 The Array As An Abstract Data Type
2.2 Structures and Unions
Structures
Unions
Internal Implementation Of Structures
2.2.1
2.2.2
2.2.3"
DSA - 3.pdf,7,vision_latex,vision_latex::markdown_high_non_alnum_ratio,"\\section*{vi Contents}
\\subsection*{2.2.4 Self-Referential Structures} 57
\\subsection*{2.3 The Polynomial Abstract Data Type} 59
\\subsection*{2.4 The Sparse Matrix Abstract Data Type} 66
\\subsubsection*{2.4.1 Introduction} 66
\\subsubsection*{2.4.2 Transposing A Matrix} 69
\\subsubsection*{2.4.3 Matrix Multiplication} 73
\\subsection*{2.5 The Representation Of Multidimensional Arrays} 78
\\subsection*{2.6 The String Abstract Data Type} 80
\\subsubsection*{2.6.1 Introduction} 80
\\subsubsection*{2.6.2 Pattern Matching} 84
\\subsection*{2.7 References And Selected Readings} 92
\\subsection*{2.8 Additional Exercises} 92
\\section*{CHAPTER 3 STACKS AND QUEUES} 101
\\subsection*{3.1 The Stack Abstract Data Type} 101
\\subsection*{3.2 The Queue Abstract Data Type} 105
\\subsection*{3.3 A Mazing Problem} 112
\\subsection*{3.4 Evaluation of Expressions} 116
\\subsubsection*{3.4.1 Introduction} 116
\\subsubsection*{3.4.2 Evaluating Postfix Expressions} 118
\\subsubsection*{3.4.3 Infix to Postfix} 121
\\subsection*{3.5 Multiple Stacks And Queues} 128
\\subsection*{3.6 Selected Readings And References} 131
\\subsection*{3.7 Additional Exercises} 132
\\section*{CHAPTER 4 LISTS} 135
\\subsection*{4.1 Pointers} 135
\\subsubsection*{4.1.1 Pointer Can Be Dangerous} 137
\\subsubsection*{4.1.2 Using Dynamically Allocated Storage} 138
\\subsection*{4.2 Singly Linked Lists} 139
\\subsection*{4.3 Dynamically Linked Stacks And Queues} 147
\\subsection*{4.4 Polynomials} 150
\\subsubsection*{4.4.1 Representing Polynomials As Singly Linked Lists} 150
\\subsubsection*{4.4.2 Adding Polynomials} 152
\\subsubsection*{4.4.3 Erasing Polynomials} 156
\\subsubsection*{4.4.4 Polynomials As Circularly Linked Lists} 157
\\subsubsection*{4.4.5 Summary} 161
\\subsection*{4.5 Additional List Operations} 163
\\subsubsection*{4.5.1 Operations For Chains} 163
\\subsubsection*{4.5.2 Operations For Circularly Linked Lists} 163
\\subsection*{4.6 Equivalence Relations} 166
\\subsection*{4.7 Sparse Matrices} 171
\\subsection*{4.8 Doubly Linked Lists} 179"
DSA - 3.pdf,8,pymupdf,pymupdf_scored_higher_than_marker,"Contents vii
4.9 References And Selected Readings
4.10 Additional Exercises
CHAPTERS TREES
Introduction
5.1
5.1.1 Terminology
5.1.2 Representation Of Trees
Binary Trees
The Abstract Data Type
5.2
5.2.1
5.2.2
Properties Of Binary Trees
5.2.3
Binary Tree Representations
Binary Tree Traversals
Additional Binary Tree Operations
Threaded Binary Trees
Heaps
5.3
5.4
5.5
5.6
The Heap Abstract Data Type
Priority Queues
Insertion Into A Max Heap
Deletion From A Max Heap
5.6.1
5.6.2
5.6.3
5.6.4
Binary Search Trees
5.7
Introduction
Searching A Binary Search Tree
Inserting Into A Binary Search Tree
Deletion From A Binary Search Tree
Height Of A Binary Search Tree
5.7.1
5.7.2
5.7.3
5.7.4
5.7.5
Selection Trees
Forests 236
5.8
5.9
5.9.1 Transforming A Forest Into A Binary Search Tree
5.9.2 Forest Traversals 237
Forest Traversals
5.10 Set Representation
Union And Find Operations
5.10.1
5.10.2 Equivalence Relations
5.11 Counting Binary Trees
Distinct Binary Trees
Stack Permutations
Matrix Multiplication
Number Of Distinct Binary Trees
5.11.1
5.11.2
5.11.3
5.11.4
5.12 References And Selected Readings
5.13 Additional Exercises
CHAPTER 6 GRAPHS
6.1 The Graph Abstract Data Type
6.1.1 Introduction 257
Introduction"
DSA - 3.pdf,9,pymupdf,pymupdf_scored_higher_than_marker,"viii Contents
6.1.2 Definitions 259
6.1.3 Graph Representations
Elementary Graph Operations
Definitions
6.2
Depth First Search
Breadth First Search
Connected Components
Spanning Trees
Biconnected Components And Articulation Points
6.2.1
6.2.2
6.2.3
6.2.4
6.2.4
Minimum Cost Spanning Trees
6.3
6.4
Shortest Paths And Transitive Closure
6.4.1
Single Source All Destination
6.4.2
6.4.3
Activity Networks
6.5.1
6.5.2 Activity On Edge (AOE) Networks
References And Selected Readings
Additional Exercises
All Pairs Shortest Paths
Transitive Closure
Activity On Vertex (AOV) Networks
6.5
6.6
6.7
CHAPTER? SORTING
7.1
Searching And List Verification
7.1.1
7.1.2
7.1.3
7.1.4
Definitions
Insertion Sort
Quick Sort
Optimal Sorting Time
Merge Sort
Introduction
Sequential Search
Binary Search
List Verification
7.2
7.3
7.4
7.5
7.6
7.6.1 Merging
7.6.2 Iterative Merge Sort
7.6.3
Heap Sort
Radix Sort
List And Table Sorts
Recursive Merge Sort
7.7
7.8
7.9
7.10 Summary Of Internal Sorting
7.11 External Sorting
Introduction
A;-way Merging
Buffer Handling For Parallel Operation
Run Generation
Optimal Merging Of Runs
7.11.1
7.11.2
7.11.3
7.11.4
7.11.5"
DSA - 3.pdf,10,pymupdf,pymupdf_scored_higher_than_marker,"Contents ix
7.12 References And Selected Readings
7.13 Additional Exercises
CHAPTERS HASHING
The Symbol Table Abstract Data Type
Static Hashing
8.1
8.2
Hash Tables
Hashing Functions
Overflow Handling
Theoretical Evaluation Of Overflow Techniques
8.2.1
8.2.2
8.2.3
8.2.4
Dynamic Hashing
8.3
8.3.1 Dynamic Hashing Using Directories
8.3.2 Analysis Of Directory Dynamic Hashing
8.3.3 Directory less Dynamic Hashing
References And Selected Readings
8.4
CHAPTER 9 HEAP STRUCTURES
Min-Max Heaps
9.1
Definition
Insertion Into A Min-Max Heap
Deletion Of Min Element
9.1.1
9.1.2
9.1.3
Deaps
9.2
Definition
Insertion Into A Deap
Deletion Of Min Element
9.2.1
9.2.2
9.2.3
Leftist Trees
Binomial Heaps
9.3
9.4
Cost Amortization
Definition Of Binomial Heaps
Insertion Into A Binomial Heap
Combine
Deletion Of Min Element
Analysis
9.4.1
9.4.2
9.4.3
9.4.4
9.4.5
9.4.6
Fibonacci Heaps
9.5
Definition
Deletion From An F-heap
Decrease Key
Cascading Cut
Analysis
Application Of F-heaps
9.5.1
9.5.2
9.5.3
9.5.4
9.5.5
9.5.6
References And Selected Readings
9.6"
